POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
111011211,0,3,0,0,6,747,462,36,13,1260
111011212,8,13,0,0,18,997,1116,160,35,2310
111011213,0,11,0,0,13,557,600,65,6,1230
111011214,7,24,7,0,40,4215,3016,441,95,7765
111021215,4,11,0,0,14,1024,814,88,23,1949
111021216,0,9,0,0,12,483,537,119,17,1157
111021217,0,8,0,0,16,2384,1498,199,66,4144
111021218,14,22,0,0,43,4363,2620,468,115,7568
111021219,11,17,5,0,38,2393,2061,256,79,4790
111021220,8,7,0,0,13,790,530,86,23,1436
111021221,0,4,0,0,4,619,449,75,7,1149
111031222,6,22,3,4,34,2942,3683,568,80,7269
111031223,3,21,0,3,32,6457,1670,318,135,8579
111031224,11,39,3,5,58,8539,4681,801,154,14182
111031225,17,33,0,3,49,6370,4492,913,127,11905
111031226,0,3,3,0,9,1136,833,104,29,2100
111031227,10,14,3,0,25,6407,3232,576,145,10357
111031228,3,23,0,0,25,1874,1949,213,53,4087
111031229,9,58,3,6,76,13317,6476,1389,231,21415
111031230,0,3,0,0,7,2505,385,134,43,3070
111031231,3,11,4,0,20,4104,2775,355,111,7339
111031232,0,12,0,0,17,562,569,71,23,1227
111031233,0,17,0,0,20,3006,2557,313,68,5946
111031234,5,10,0,3,17,3802,2567,436,89,6892
111031235,8,15,0,3,26,4242,2026,328,85,6680
112011236,16,46,3,6,68,5237,4565,505,199,10517
112011237,34,66,3,8,108,2658,2247,205,105,5206
112011238,11,26,0,0,34,1263,1326,112,58,2759
112011239,0,17,0,0,18,781,1118,126,46,2073
112011240,12,28,5,0,45,3460,3929,526,159,8074
112011241,3,10,0,3,21,682,594,67,33,1370
112011242,0,8,0,0,14,981,1005,103,23,2118
112011243,6,21,0,5,33,1540,1851,151,81,3633
112021244,16,23,3,4,42,2480,1931,226,103,4744
112021245,33,33,4,8,78,1014,546,66,41,1670
112021246,5,9,0,0,17,1444,1211,116,52,2825
112021247,12,16,3,17,46,1235,919,85,69,2310
112021248,22,47,11,14,91,8654,5826,778,252,15503
112021249,33,52,0,6,100,1766,1380,134,86,3356
112031250,0,25,5,5,39,2562,2513,281,119,5469
112031251,7,29,0,0,41,2970,2223,216,105,5512
112031252,20,17,3,0,49,1001,904,83,51,2043
112031253,7,20,0,3,31,1207,1444,142,63,2854
112031254,16,42,4,8,69,3862,3366,446,157,7829
112031550,0,16,0,3,19,888,1065,106,42,2104
112031551,4,9,0,0,8,356,332,41,14,748
112031552,16,9,0,0,26,3473,2781,323,117,6687
113011256,16,52,3,12,80,6000,3337,345,212,9897
113011257,50,58,0,5,115,5182,1481,175,170,7009
113011258,13,17,3,3,37,2807,1282,139,97,4322
113011259,13,19,6,6,43,1329,700,87,37,2148
113021260,15,19,3,3,38,989,433,86,39,1549
113021261,3,13,5,0,21,1912,1193,144,70,3311
113021262,18,18,3,8,54,1107,442,81,43,1675
113031263,12,21,0,3,40,1514,855,124,75,2573
113031264,13,21,0,0,40,888,555,83,36,1561
113031265,20,16,0,0,37,1452,546,86,51,2145
113031266,10,17,5,4,37,1649,931,93,52,2726
113031267,5,15,3,7,40,4587,1922,233,100,6836
113031268,3,5,0,4,8,2229,758,100,49,3132
113031269,8,20,0,3,29,2020,1471,125,62,3684
113031270,12,48,8,12,79,10172,5858,769,311,17111
113031271,72,76,6,20,171,3684,1302,156,135,5285
114011272,20,30,0,0,51,1464,1409,227,44,3148
114011273,0,6,0,0,7,225,225,30,6,491
114011274,4,9,0,0,11,407,420,67,22,910
114011275,0,0,0,0,0,22,18,7,0,50
114011276,0,12,0,0,13,977,1049,154,45,2224
114011277,9,16,0,0,25,2620,1721,217,93,4650
114011278,19,39,4,17,76,10702,5834,862,288,17681
114011279,0,16,0,0,16,741,793,91,28,1646
114011280,0,4,0,0,9,300,388,46,20,753
114011281,3,4,0,4,6,319,227,33,16,594
114011282,11,37,3,7,54,2588,2932,327,143,5990
114011283,8,12,0,0,22,455,377,47,17,903
114021284,28,90,10,4,130,3525,3142,363,99,7131
114021285,3,4,0,0,10,309,240,37,11,588
114021286,19,53,3,0,78,2713,2016,291,90,5114
114021287,23,39,9,4,72,3241,1724,261,103,5327
114021288,18,23,4,4,50,615,502,93,27,1237
114021289,23,40,0,0,63,917,773,143,42,1872
115011290,6,18,8,0,28,1828,1878,553,73,4335
115011291,27,38,8,6,74,18031,6645,1870,387,26944
115011294,3,10,0,0,8,508,501,96,20,1120
115011296,6,16,0,0,18,683,604,125,18,1435
115011553,24,24,12,0,55,4680,2933,1189,137,8934
115011554,0,0,0,0,8,639,650,94,23,1402
115011555,9,23,3,0,36,1469,1814,1379,80,4744
115011556,0,19,0,0,22,898,943,241,26,2109
115011557,0,0,0,0,0,297,252,51,4,604
115011558,6,17,4,0,31,1111,1239,267,30,2650
115011621,3,8,0,4,16,1372,1332,299,41,3043
115011622,0,7,0,0,15,815,651,132,24,1624
115021297,34,88,15,5,139,4168,3636,1115,159,9078
115021298,8,14,0,0,28,860,727,228,29,1844
115031299,8,16,0,0,19,254,277,106,21,649
115031300,24,44,3,5,68,2162,1765,523,82,4534
115041301,0,31,8,4,41,3172,1879,711,101,5870
115041623,0,5,0,0,3,643,410,147,19,1224
115041624,0,8,0,0,8,951,851,207,28,2026
115041625,0,9,0,0,13,2187,2542,1245,86,6068
116011303,24,45,10,5,91,12177,5995,2519,414,21104
116011304,9,7,4,0,11,1133,853,266,42,2288
116011306,5,6,0,0,10,960,890,294,46,2198
116011307,18,29,12,5,61,8411,4008,1714,299,14433
116011560,4,3,0,0,7,515,396,140,19,1063
116011561,0,3,0,0,7,839,675,217,55,1782
116011626,6,10,10,4,29,1787,1381,750,95,4018
116011627,4,3,4,0,8,580,548,171,33,1338
116021309,3,8,0,0,8,814,695,231,26,1761
116021562,0,0,0,0,0,159,86,48,6,297
116021563,3,0,0,0,8,1252,1070,292,43,2660
116021628,3,8,0,0,11,1015,997,294,38,2344
116021629,4,3,0,0,8,2431,1193,414,99,4131
116021630,13,10,0,0,22,2488,1311,535,70,4399
116021631,5,0,0,0,0,436,401,133,25,999
116021632,0,4,0,0,4,1628,987,333,50,3001
116021633,0,4,0,0,6,1135,830,310,48,2322
116031313,0,4,4,0,9,673,696,202,68,1639
116031314,7,7,0,0,15,3741,1350,580,137,5804
116031315,0,8,0,0,11,1086,1122,288,61,2556
116031316,0,9,0,0,10,650,465,143,37,1291
116031317,9,11,3,0,19,3276,2234,1134,161,6801
116031318,16,10,6,4,33,14593,3956,1435,477,20456
116031319,4,9,9,4,22,7834,3626,1182,278,12921
117011320,13,13,0,0,23,5823,1716,570,158,8268
117011321,12,17,4,0,36,4513,1927,615,123,7176
117011323,3,13,0,0,17,1892,1764,710,66,4429
117011324,4,3,0,0,9,3365,740,276,97,4476
117011325,0,6,4,3,19,4578,3005,2024,191,9799
117011634,9,13,3,0,19,613,528,163,24,1334
117011635,12,21,11,3,44,12991,4888,2161,349,20383
117021327,8,29,4,0,47,3015,2105,653,99,5875
117021328,14,15,0,0,32,3572,1959,677,127,6333
117021636,4,18,18,6,44,4489,3370,1145,186,9187
